JOB N;Submit Time;Wait Time;Run Time;Number of Allocated Processors;Average CPU Time Used;Used Memory;Requested Number of Processors;Requested Time;Requested Memory;Status;User ID;Group ID;Executable (Application) Number;Queue Number; Partition Number;Preceding Job Number;Think Time from Preceding Job;Dia de Semana;Dia;Mês;Horas;Minutos;Segundos
1;0;-1;1451;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;Sex;1;Out;0;0;3
2;1460;-1;3726;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;Sex;1;Out;0;24;23
3;5198;-1;1067;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;Sex;1;Out;1;26;41
4;6269;-1;10927;128;-1;-1;-1;-1;-1;-1;2;1;-1;-1;-1;-1;-1;Sex;1;Out;1;44;32
5;17201;-1;2927;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;Sex;1;Out;4;46;44
57;25574;-1;10;1;-1;-1;-1;-1;-1;-1;4;1;2;-1;-1;-1;-1;Sex;1;Out;7;6;17
59;26613;-1;716;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;7;23;36
60;27331;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;7;35;34
61;27968;-1;69;2;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;Sex;1;Out;7;46;11
62;27989;-1;9;1;-1;-1;-1;-1;-1;-1;6;1;6;-1;-1;-1;-1;Sex;1;Out;7;46;32
63;28043;-1;9;1;-1;-1;-1;-1;-1;-1;6;1;6;-1;-1;-1;-1;Sex;1;Out;7;47;26
65;28255;-1;884;1;-1;-1;-1;-1;-1;-1;6;1;6;-1;-1;-1;-1;Sex;1;Out;7;50;58
72;29539;-1;75;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;12;22
74;29616;-1;15;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;8;13;39
76;30304;-1;176;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;25;7
77;30542;-1;160;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;29;5
80;30931;-1;229;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;35;34
85;31316;-1;54;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;8;41;59
86;31345;-1;237;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;42;28
87;31658;-1;49;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;8;47;41
89;31823;-1;104;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;50;26
90;31829;-1;57;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;8;50;32
91;31888;-1;19;16;-1;-1;-1;-1;-1;-1;8;1;8;-1;-1;-1;-1;Sex;1;Out;8;51;31
92;31929;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;8;52;12
93;32058;-1;181;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;54;21
95;32289;-1;143;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;8;58;12
96;32435;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;9;0;38
97;32463;-1;59;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;9;1;6
98;32513;-1;4034;16;-1;-1;-1;-1;-1;-1;8;1;8;-1;-1;-1;-1;Sex;1;Out;9;1;56
102;32702;-1;14;1;-1;-1;-1;-1;-1;-1;9;2;9;-1;-1;-1;-1;Sex;1;Out;9;5;5
104;32974;-1;51;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;9;9;37
106;33114;-1;10;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;9;11;57
107;33200;-1;52;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;9;13;23
109;33656;-1;147;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;9;20;59
110;33806;-1;19;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;9;23;29
111;33820;-1;60;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;9;23;43
115;34421;-1;21;4;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;Sex;1;Out;9;33;44
117;34471;-1;200;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;9;34;34
119;34546;-1;35;4;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;Sex;1;Out;9;35;49
121;34673;-1;8;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;9;37;56
122;34856;-1;732;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;9;40;59
124;35269;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;9;47;52
126;35572;-1;63;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;9;52;55
127;35593;-1;10;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;9;53;16
128;35663;-1;727;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;9;54;26
133;36027;-1;53;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;10;0;30
135;36149;-1;120;32;-1;-1;-1;-1;-1;-1;10;1;10;-1;-1;-1;-1;Sex;1;Out;10;2;32
136;36204;-1;133;16;-1;-1;-1;-1;-1;-1;11;1;11;-1;-1;-1;-1;Sex;1;Out;10;3;27
137;36396;-1;8;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;10;6;39
138;36451;-1;166;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;10;7;34
140;36641;-1;785;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;10;10;44
141;36709;-1;151;16;-1;-1;-1;-1;-1;-1;11;1;11;-1;-1;-1;-1;Sex;1;Out;10;11;52
142;36716;-1;290;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;10;11;59
143;36718;-1;5057;16;-1;-1;-1;-1;-1;-1;8;1;8;-1;-1;-1;-1;Sex;1;Out;10;12;1
144;36965;-1;593;32;-1;-1;-1;-1;-1;-1;10;1;10;-1;-1;-1;-1;Sex;1;Out;10;16;8
146;37087;-1;123;16;-1;-1;-1;-1;-1;-1;11;1;11;-1;-1;-1;-1;Sex;1;Out;10;18;10
147;37304;-1;152;16;-1;-1;-1;-1;-1;-1;11;1;11;-1;-1;-1;-1;Sex;1;Out;10;21;47
150;37436;-1;29;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;10;23;59
151;37439;-1;71;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;10;24;2
154;37562;-1;136;32;-1;-1;-1;-1;-1;-1;10;1;10;-1;-1;-1;-1;Sex;1;Out;10;26;5
155;37701;-1;172;32;-1;-1;-1;-1;-1;-1;10;1;10;-1;-1;-1;-1;Sex;1;Out;10;28;24
156;37826;-1;69;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;10;30;29
157;37877;-1;566;32;-1;-1;-1;-1;-1;-1;10;1;10;-1;-1;-1;-1;Sex;1;Out;10;31;20
159;37905;-1;807;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;10;31;48
160;38147;-1;70;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;10;35;50
162;38445;-1;4750;32;-1;-1;-1;-1;-1;-1;10;1;10;-1;-1;-1;-1;Sex;1;Out;10;40;48
163;38716;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;10;45;19
170;40045;-1;3;1;-1;-1;-1;-1;-1;-1;2;1;9;-1;-1;-1;-1;Sex;1;Out;11;7;28
172;40336;-1;748;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;11;12;19
173;40393;-1;78;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;11;13;16
175;40730;-1;68;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;11;18;53
176;40770;-1;9;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;11;19;33
178;41017;-1;64;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;11;23;40
180;41088;-1;16;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;Sex;1;Out;11;24;51
183;41252;-1;206;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;Sex;1;Out;11;27;35
184;41391;-1;74;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;Sex;1;Out;11;29;54
186;41502;-1;260;32;-1;-1;-1;-1;-1;-1;4;1;-1;-1;-1;-1;-1;Sex;1;Out;11;31;45
187;41598;-1;138;4;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;Sex;1;Out;11;33;21
188;41759;-1;24;4;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;Sex;1;Out;11;36;2
189;41861;-1;37;8;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;Sex;1;Out;11;37;44
190;42024;-1;4;1;-1;-1;-1;-1;-1;-1;5;2;9;-1;-1;-1;-1;Sex;1;Out;11;40;27
191;42064;-1;4;1;-1;-1;-1;-1;-1;-1;5;2;12;-1;-1;-1;-1;Sex;1;Out;11;41;7
192;42072;-1;4;1;-1;-1;-1;-1;-1;-1;5;2;12;-1;-1;-1;-1;Sex;1;Out;11;41;15
194;42432;-1;14;32;-1;-1;-1;-1;-1;-1;5;2;11;-1;-1;-1;-1;Sex;1;Out;11;47;15
195;42451;-1;23;4;-1;-1;-1;-1;-1;-1;5;2;11;-1;-1;-1;-1;Sex;1;Out;11;47;34
197;42545;-1;19;4;-1;-1;-1;-1;-1;-1;5;2;13;-1;-1;-1;-1;Sex;1;Out;11;49;8
198;42602;-1;54;4;-1;-1;-1;-1;-1;-1;5;2;13;-1;-1;-1;-1;Sex;1;Out;11;50;5
199;42632;-1;500;32;-1;-1;-1;-1;-1;-1;4;1;-1;-1;-1;-1;-1;Sex;1;Out;11;50;35
200;42670;-1;355;8;-1;-1;-1;-1;-1;-1;5;2;13;-1;-1;-1;-1;Sex;1;Out;11;51;13
202;42912;-1;235;32;-1;-1;-1;-1;-1;-1;12;2;14;-1;-1;-1;-1;Sex;1;Out;11;55;15
