JOB N;Submit Time;Wait Time;Run Time;Number of Allocated Processors;Average CPU Time Used;Used Memory;Requested Number of Processors;Requested Time;Requested Memory;Status;User ID;Group ID;Executable (Application) Number;Queue Number; Partition Number;Preceding Job Number;Think Time from Preceding Job;Dia de Semana;Dia;Mês;Ano;Horas;Minutos;Segundos
1;0;392395;19025;64;19025;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Qua;27;Dez;1995;10;53;57
2;172211;562446;43328;128;43234;-1;-1;-1;-1;1;4;-1;-1;25;2;-1;-1;Qui;28;Dez;1995;9;44;8
3;251072;526923;34361;128;34327;-1;-1;-1;-1;1;12;-1;-1;25;2;-1;-1;Sex;29;Dez;1995;7;38;29
4;253225;559170;37372;128;37323;-1;-1;-1;-1;1;12;-1;-1;25;2;-1;-1;Sex;29;Dez;1995;8;14;22
5;253392;596397;35202;128;35091;-1;-1;-1;-1;1;12;-1;-1;25;2;-1;-1;Sex;29;Dez;1995;8;17;9
6;256867;154564;22746;64;22712;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Sex;29;Dez;1995;9;15;4
7;306389;86382;24562;1;-1;-1;-1;-1;-1;1;6;-1;-1;30;2;-1;-1;Sab;30;Dez;1995;23;0;26
8;325830;66571;6858;16;6858;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Sab;30;Dez;1995;4;24;27
9;335032;57373;8219;64;8219;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Sab;30;Dez;1995;7;57;49
10;335042;57730;29203;64;29203;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Sab;30;Dez;1995;7;57;59
11;335050;65582;28881;64;28862;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Sab;30;Dez;1995;7;58;7
12;339439;52965;3554;32;3554;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Sab;30;Dez;1995;8;11;16
13;352740;39658;6835;16;6835;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;11;52;57
14;382934;51263;43334;64;43269;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;16;11
15;382971;9817;12694;32;12694;-1;-1;-1;-1;1;4;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;20;16;48
16;383006;38984;3635;64;3609;-1;-1;-1;-1;1;4;-1;-1;22;2;-1;-1;Dom;31;Dez;1995;20;17;23
17;383062;94484;43333;64;42818;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;18;19
18;383088;137801;132;64;107.77;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;18;45
19;383107;137922;43333;64;43238;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;19;4
20;385817;6578;2368;30;2368;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;21;4;14
21;392390;-1;3040;32;3040;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;23;53;47
22;392776;86399;31071;1;-1;-1;-1;-1;-1;1;6;-1;-1;30;2;-1;-1;Dom;31;Dez;1995;23;0;13
23;394761;8;8866;30;8851;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;23;33;18
24;394914;4;43335;32;42682;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;23;35;51
25;394928;1042;30630;32;30551;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;23;36;5
26;395433;0;589;1;586.80;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;23;44;30
27;397570;0;422;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;0;20;7
28;397992;0;4274;32;4272;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;0;27;9
29;399229;7;30317;16;30284;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;0;47;46
30;399255;7;30958;16;30932;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;0;48;12
31;402270;0;527;1;525.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;1;38;27
32;403632;9;11010;30;10997;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;2;1;9
33;403899;0;423;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;2;5;36
34;404322;0;3257;32;3256;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;2;12;39
51;407579;0;522;1;522.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;3;6;56
52;409242;0;427;1;424.80;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;3;34;39
53;409670;0;2813;32;2813;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;3;41;47
54;412485;0;549;1;550.80;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;4;28;42
55;414162;0;433;1;432.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;5;56;39
56;414595;0;2640;32;2638;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;5;3;52
57;414647;12;8805;30;8782;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;5;4;44
58;417236;0;529;1;529.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;5;47;53
59;423458;28;11092;30;11070;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;7;31;35
60;424574;18;5527;1;5202;-1;-1;-1;-1;1;5;-1;-1;30;2;-1;-1;Dom;31;Dez;1995;7;50;11
61;426458;0;422;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;8;21;35
